saison;capt;ech
1965;5;
1966;4;
1967;9;
1968;12;
1969;10;
1970;8;
1971;44;
1972;38;
1973;78;
1974;107;
1975;44;
1976;106;
1977;52;
1978;106;
1979;209;
1980;95;
1981;57;
1982;98;
1983;69;
1984;36;
1985;41;
1986;52.6;
1987;41.2;
1988;46.6;
1989;36.7;
1990;35.9;
1991;15.35;
1992;29.57;
1993;31;
1994;24;
1995;29.5;0.2
1996;22.4;0.9
1997;22.6;0.3
1998;17.5;1.4
1999;15.3;0.7
2000;14.2;0.3
2001;8.16;0.3
2002;15.851;0
2003;8.939;0.4
2004;7.065;0.4
2005;6.816;0.5
2006;6.10463;0.4
2007;6.86;0.8
2008;4.2;0.9
2009;2.611;0.1
2010;3.027;
2011;3.918;
2012;2.99;
2013;2.1;
2014;3.9;
2015;4.4;
2016;4.619;
2017;5.86;
2018;6.52;
2019;5.13;
2020;3.45;
2021;4.53;
2022;5.6;
2023;4.3;
